               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  52,            0.015886,            0.027052,                   0,             0.99624,             0.99704,             0.99438,             0.89027,             0.01268,            0.015595,                   0,            0.008317,            0.008317,            0.008317
                  53,            0.015784,            0.027711,                   0,             0.99331,             0.99671,             0.99427,             0.88206,            0.013005,            0.016486,                   0,            0.008284,            0.008284,            0.008284
                  54,            0.015553,            0.027242,                   0,             0.99446,             0.99573,             0.99417,             0.89171,            0.012336,            0.015269,                   0,            0.008251,            0.008251,            0.008251
                  55,            0.015846,             0.02695,                   0,             0.99677,             0.99507,             0.99437,             0.90237,            0.011232,            0.015285,                   0,            0.008218,            0.008218,            0.008218
                  56,            0.015576,            0.027215,                   0,             0.99605,             0.99549,              0.9943,             0.89383,            0.012111,            0.015389,                   0,            0.008185,            0.008185,            0.008185
                  57,            0.015499,            0.026945,                   0,             0.99408,             0.99803,             0.99431,             0.88401,            0.012322,            0.015561,                   0,            0.008152,            0.008152,            0.008152
                  58,            0.015328,            0.026634,                   0,             0.99688,              0.9977,             0.99436,             0.89936,            0.011606,            0.014903,                   0,            0.008119,            0.008119,            0.008119
                  59,             0.01556,            0.027336,                   0,             0.99514,             0.99638,             0.99435,             0.89787,            0.011795,            0.015241,                   0,            0.008086,            0.008086,            0.008086
                  60,             0.01513,            0.026758,                   0,             0.99558,             0.99573,             0.99433,             0.89919,            0.011692,            0.015336,                   0,            0.008053,            0.008053,            0.008053
                  61,             0.01521,            0.026472,                   0,             0.99541,             0.99804,             0.99432,             0.90383,            0.011406,            0.014842,                   0,             0.00802,             0.00802,             0.00802
                  62,            0.015341,            0.026609,                   0,              0.9946,             0.99605,             0.99428,             0.90386,            0.011518,            0.015513,                   0,            0.007987,            0.007987,            0.007987
                  63,            0.014811,            0.026399,                   0,             0.99573,             0.99661,             0.99434,             0.90911,            0.011101,            0.014699,                   0,            0.007954,            0.007954,            0.007954
                  64,            0.015367,            0.026866,                   0,             0.99602,             0.99605,              0.9943,             0.90864,            0.010863,            0.014889,                   0,            0.007921,            0.007921,            0.007921
                  65,            0.014927,            0.025937,                   0,              0.9954,             0.99601,             0.99429,             0.89498,            0.011782,            0.015436,                   0,            0.007888,            0.007888,            0.007888
                  66,            0.014754,            0.025522,                   0,             0.99606,             0.99801,             0.99431,              0.9018,            0.011277,            0.015245,                   0,            0.007855,            0.007855,            0.007855
                  67,            0.014884,            0.026044,                   0,             0.99679,             0.99737,              0.9943,             0.90019,            0.011488,             0.01473,                   0,            0.007822,            0.007822,            0.007822
                  68,            0.014918,            0.025699,                   0,             0.99508,             0.99796,             0.99429,             0.91311,            0.010803,            0.014671,                   0,            0.007789,            0.007789,            0.007789
                  69,            0.014934,            0.026216,                   0,             0.99665,             0.99704,             0.99433,             0.90837,            0.011066,            0.014705,                   0,            0.007756,            0.007756,            0.007756
                  70,            0.014666,            0.025725,                   0,             0.99737,             0.99672,             0.99427,             0.89039,            0.011923,            0.014991,                   0,            0.007723,            0.007723,            0.007723
                  71,            0.014634,            0.025762,                   0,             0.99778,              0.9954,             0.99394,             0.90909,            0.011001,            0.014519,                   0,             0.00769,             0.00769,             0.00769
                  72,            0.014748,            0.025748,                   0,               0.996,             0.99836,             0.99429,             0.90179,            0.011533,            0.015067,                   0,            0.007657,            0.007657,            0.007657
                  73,            0.014314,            0.025543,                   0,             0.99476,             0.99865,             0.99433,             0.90726,            0.011346,            0.014377,                   0,            0.007624,            0.007624,            0.007624
                  74,            0.014679,            0.026131,                   0,             0.99527,             0.99704,             0.99434,             0.89642,            0.012003,            0.014874,                   0,            0.007591,            0.007591,            0.007591
                  75,            0.014491,            0.026231,                   0,             0.99704,              0.9957,             0.99434,             0.90653,            0.011167,            0.013983,                   0,            0.007558,            0.007558,            0.007558
                  76,            0.014354,            0.026024,                   0,             0.99705,              0.9954,             0.99435,             0.90816,            0.011202,            0.014442,                   0,            0.007525,            0.007525,            0.007525
                  77,            0.014362,            0.025559,                   0,             0.99672,             0.99859,             0.99433,             0.90171,            0.012093,            0.014882,                   0,            0.007492,            0.007492,            0.007492
                  78,            0.014378,            0.025319,                   0,             0.99606,             0.99742,             0.99432,             0.90931,            0.010839,            0.014692,                   0,            0.007459,            0.007459,            0.007459
                  79,            0.014437,            0.025232,                   0,             0.99737,             0.99686,             0.99434,             0.91396,            0.010652,            0.014087,                   0,            0.007426,            0.007426,            0.007426
                  80,            0.014107,            0.025324,                   0,             0.99582,             0.99704,             0.99438,             0.91046,            0.011633,            0.014749,                   0,            0.007393,            0.007393,            0.007393
                  81,            0.014246,            0.025384,                   0,             0.99541,             0.99704,             0.99431,             0.91033,            0.010983,            0.014287,                   0,             0.00736,             0.00736,             0.00736
                  82,            0.014224,            0.025085,                   0,             0.99606,             0.99734,             0.99434,             0.91648,            0.010766,            0.014316,                   0,            0.007327,            0.007327,            0.007327
                  83,            0.014021,             0.02483,                   0,             0.99704,             0.99761,             0.99432,             0.90815,            0.010986,            0.014184,                   0,            0.007294,            0.007294,            0.007294
                  84,            0.014179,            0.025053,                   0,             0.99602,             0.99704,              0.9943,             0.91564,            0.010531,            0.013995,                   0,            0.007261,            0.007261,            0.007261
                  85,            0.014017,             0.02498,                   0,             0.99728,              0.9977,             0.99439,             0.91096,            0.011205,            0.014155,                   0,            0.007228,            0.007228,            0.007228
                  86,            0.014145,            0.025151,                   0,             0.99735,             0.99671,             0.99425,              0.9128,            0.010686,            0.013887,                   0,            0.007195,            0.007195,            0.007195
                  87,            0.014033,            0.024957,                   0,             0.99639,             0.99708,             0.99432,             0.91026,            0.011244,            0.014425,                   0,            0.007162,            0.007162,            0.007162
                  88,            0.013902,            0.024424,                   0,             0.99704,             0.99679,             0.99424,             0.92022,            0.010128,            0.013878,                   0,            0.007129,            0.007129,            0.007129
                  89,            0.014088,            0.024951,                   0,              0.9977,             0.99652,             0.99422,             0.91886,            0.010665,            0.014151,                   0,            0.007096,            0.007096,            0.007096
                  90,             0.01386,             0.02456,                   0,             0.99692,             0.99573,              0.9943,             0.91556,            0.010496,            0.013977,                   0,            0.007063,            0.007063,            0.007063
                  91,            0.013523,            0.024275,                   0,             0.99675,             0.99671,             0.99431,             0.92296,             0.01013,            0.013654,                   0,             0.00703,             0.00703,             0.00703
                  92,            0.013955,            0.024886,                   0,             0.99812,             0.99638,             0.99434,             0.92579,           0.0098556,            0.013381,                   0,            0.006997,            0.006997,            0.006997
                  93,            0.013614,            0.024572,                   0,             0.99737,             0.99653,             0.99432,             0.92179,            0.010002,            0.013693,                   0,            0.006964,            0.006964,            0.006964
                  94,            0.013914,            0.024576,                   0,             0.99671,             0.99703,             0.99431,             0.91415,            0.010873,            0.013853,                   0,            0.006931,            0.006931,            0.006931
                  95,            0.013674,             0.02432,                   0,             0.99671,             0.99733,             0.99435,             0.91104,            0.011059,            0.014558,                   0,            0.006898,            0.006898,            0.006898
                  96,            0.013517,            0.024544,                   0,             0.99617,             0.99671,             0.99432,             0.90981,            0.011025,            0.014541,                   0,            0.006865,            0.006865,            0.006865
                  97,            0.013313,            0.023898,                   0,             0.99671,             0.99731,             0.99428,             0.93126,           0.0096212,            0.013657,                   0,            0.006832,            0.006832,            0.006832
                  98,            0.013425,            0.023746,                   0,             0.99669,             0.99704,             0.99432,             0.91789,            0.010343,            0.014128,                   0,            0.006799,            0.006799,            0.006799
                  99,            0.013639,            0.024487,                   0,             0.99651,             0.99638,             0.99436,              0.9261,           0.0099936,            0.013717,                   0,            0.006766,            0.006766,            0.006766
                 100,            0.013371,            0.024269,                   0,             0.99704,             0.99568,             0.99436,             0.92409,            0.009898,            0.013495,                   0,            0.006733,            0.006733,            0.006733
                 101,            0.013449,            0.024014,                   0,             0.99785,             0.99638,             0.99432,             0.92001,            0.010297,            0.013495,                   0,              0.0067,              0.0067,              0.0067
                 102,            0.013525,            0.024132,                   0,             0.99597,             0.99836,             0.99438,             0.92315,           0.0098683,            0.013695,                   0,            0.006667,            0.006667,            0.006667
                 103,            0.013366,            0.024022,                   0,             0.99803,             0.99741,             0.99438,              0.9201,            0.010416,            0.013964,                   0,            0.006634,            0.006634,            0.006634
                 104,            0.013094,            0.023962,                   0,             0.99763,             0.99605,             0.99437,             0.93043,           0.0096296,            0.013423,                   0,            0.006601,            0.006601,            0.006601
                 105,            0.013102,            0.023991,                   0,             0.99704,             0.99706,             0.99436,             0.92341,            0.010205,            0.013916,                   0,            0.006568,            0.006568,            0.006568
                 106,             0.01316,            0.023739,                   0,             0.99793,             0.99737,             0.99436,             0.92335,            0.010051,             0.01376,                   0,            0.006535,            0.006535,            0.006535
                 107,            0.013506,            0.023877,                   0,             0.99672,              0.9978,             0.99438,             0.91971,            0.010609,             0.01374,                   0,            0.006502,            0.006502,            0.006502
                 108,            0.012979,             0.02365,                   0,             0.99671,             0.99724,             0.99433,             0.92817,           0.0097812,             0.01383,                   0,            0.006469,            0.006469,            0.006469
                 109,            0.013175,            0.023382,                   0,             0.99719,             0.99671,             0.99432,             0.92614,           0.0099003,            0.013129,                   0,            0.006436,            0.006436,            0.006436
                 110,            0.013236,            0.023381,                   0,              0.9971,             0.99638,             0.99433,             0.92195,            0.010191,            0.013496,                   0,            0.006403,            0.006403,            0.006403
                 111,             0.01279,            0.023032,                   0,             0.99779,             0.99605,             0.99432,             0.92369,            0.010325,             0.01354,                   0,             0.00637,             0.00637,             0.00637
                 112,            0.012939,            0.023437,                   0,             0.99681,             0.99737,             0.99433,             0.92428,            0.010346,            0.013454,                   0,            0.006337,            0.006337,            0.006337
                 113,            0.013067,             0.02356,                   0,             0.99733,             0.99737,             0.99434,             0.93031,           0.0095792,            0.013124,                   0,            0.006304,            0.006304,            0.006304
                 114,            0.012861,            0.023048,                   0,             0.99868,             0.99705,             0.99433,              0.9272,           0.0098688,            0.013051,                   0,            0.006271,            0.006271,            0.006271
