               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  59,            0.019734,            0.010298,                   0,              0.9418,             0.95491,             0.97636,             0.68659,            0.023871,           0.0073581,                   0,            0.008086,            0.008086,            0.008086
                  60,            0.020195,           0.0099316,                   0,              0.9375,             0.95488,             0.97376,             0.67668,             0.02339,           0.0076805,                   0,            0.008053,            0.008053,            0.008053
                  61,            0.019271,            0.010052,                   0,             0.93757,              0.9496,             0.96866,             0.68177,            0.024978,           0.0073576,                   0,             0.00802,             0.00802,             0.00802
                  62,             0.01898,           0.0093093,                   0,               0.908,              0.9686,             0.97251,             0.69325,            0.025111,           0.0077441,                   0,            0.007987,            0.007987,            0.007987
                  63,            0.019197,            0.010047,                   0,             0.94777,              0.9627,             0.97483,             0.70595,            0.023468,            0.007553,                   0,            0.007954,            0.007954,            0.007954
                  64,            0.018743,            0.010002,                   0,             0.93448,             0.94582,             0.97299,              0.6999,            0.022788,           0.0075492,                   0,            0.007921,            0.007921,            0.007921
                  65,            0.018755,           0.0096113,                   0,             0.94118,             0.94695,             0.97011,             0.68914,            0.023458,           0.0079113,                   0,            0.007888,            0.007888,            0.007888
                  66,            0.019212,           0.0095898,                   0,              0.9326,             0.95433,             0.97892,             0.70419,            0.023109,           0.0076368,                   0,            0.007855,            0.007855,            0.007855
                  67,            0.019716,           0.0096547,                   0,             0.93557,             0.95491,             0.97695,             0.69679,            0.022894,           0.0079527,                   0,            0.007822,            0.007822,            0.007822
                  68,            0.018938,           0.0096135,                   0,             0.93723,              0.9506,             0.97525,             0.69535,            0.023804,           0.0079665,                   0,            0.007789,            0.007789,            0.007789
                  69,            0.018678,           0.0096633,                   0,             0.94736,             0.95483,              0.9777,             0.70326,            0.023451,           0.0076778,                   0,            0.007756,            0.007756,            0.007756
                  70,            0.018949,           0.0098733,                   0,             0.94039,             0.97082,             0.97393,               0.688,            0.023753,           0.0075705,                   0,            0.007723,            0.007723,            0.007723
                  71,            0.018695,            0.009613,                   0,             0.93753,             0.95533,             0.97619,             0.67696,            0.023645,            0.007778,                   0,             0.00769,             0.00769,             0.00769
                  72,             0.01833,           0.0093282,                   0,             0.93117,             0.96817,             0.97974,              0.6974,            0.022545,           0.0074368,                   0,            0.007657,            0.007657,            0.007657
                  73,            0.018749,           0.0096857,                   0,             0.93796,             0.96246,             0.97023,             0.69255,            0.022155,           0.0076828,                   0,            0.007624,            0.007624,            0.007624
                  74,             0.01782,           0.0090977,                   0,             0.92824,             0.94164,              0.9757,             0.69996,            0.022053,           0.0082254,                   0,            0.007591,            0.007591,            0.007591
                  75,            0.018016,           0.0091962,                   0,             0.92862,             0.94695,             0.96223,             0.66838,             0.02357,           0.0079983,                   0,            0.007558,            0.007558,            0.007558
                  76,            0.018462,           0.0092814,                   0,             0.93171,             0.97718,             0.96952,             0.68346,            0.023136,           0.0077162,                   0,            0.007525,            0.007525,            0.007525
                  77,            0.018877,           0.0093013,                   0,             0.93086,             0.96817,             0.96794,             0.69372,            0.022728,           0.0074753,                   0,            0.007492,            0.007492,            0.007492
                  78,            0.017836,            0.009461,                   0,             0.95393,             0.96286,             0.98167,             0.69559,            0.023234,           0.0074939,                   0,            0.007459,            0.007459,            0.007459
                  79,            0.017143,           0.0093873,                   0,             0.94917,             0.96552,             0.97922,             0.69899,            0.023916,           0.0080302,                   0,            0.007426,            0.007426,            0.007426
                  80,            0.018055,           0.0094811,                   0,             0.95079,             0.93103,             0.97227,             0.69808,             0.02262,           0.0083645,                   0,            0.007393,            0.007393,            0.007393
                  81,            0.017119,           0.0088033,                   0,             0.95009,             0.95936,             0.97483,             0.70223,            0.023808,           0.0077876,                   0,             0.00736,             0.00736,             0.00736
                  82,            0.017694,           0.0090576,                   0,             0.95568,             0.91514,             0.97314,             0.70249,            0.022685,            0.008228,                   0,            0.007327,            0.007327,            0.007327
                  83,            0.017891,           0.0090932,                   0,             0.95273,             0.94695,             0.97107,             0.70186,            0.022224,           0.0076839,                   0,            0.007294,            0.007294,            0.007294
                  84,            0.017356,           0.0094737,                   0,             0.94024,             0.95986,             0.97557,              0.7005,            0.024516,           0.0078958,                   0,            0.007261,            0.007261,            0.007261
                  85,            0.017302,           0.0092942,                   0,             0.93481,             0.95087,              0.9658,             0.68402,            0.023248,           0.0079972,                   0,            0.007228,            0.007228,            0.007228
                  86,            0.016764,           0.0090671,                   0,             0.93199,             0.94505,              0.9692,             0.69721,            0.023762,           0.0083104,                   0,            0.007195,            0.007195,            0.007195
                  87,            0.017501,           0.0088064,                   0,             0.92813,             0.95915,             0.96134,             0.68535,            0.022787,           0.0082462,                   0,            0.007162,            0.007162,            0.007162
                  88,            0.017319,           0.0087278,                   0,             0.93467,             0.95491,             0.96722,             0.69065,            0.023107,           0.0085924,                   0,            0.007129,            0.007129,            0.007129
                  89,            0.017097,           0.0087962,                   0,             0.93778,             0.95957,              0.9698,             0.69437,            0.023087,           0.0083523,                   0,            0.007096,            0.007096,            0.007096
                  90,             0.01726,           0.0090039,                   0,             0.93057,             0.95984,             0.97493,              0.7059,              0.0231,            0.007938,                   0,            0.007063,            0.007063,            0.007063
                  91,            0.016912,           0.0088829,                   0,             0.92354,             0.96121,             0.96749,             0.69131,            0.024645,           0.0079566,                   0,             0.00703,             0.00703,             0.00703
                  92,            0.016824,           0.0088291,                   0,             0.94808,              0.9496,             0.97266,             0.68318,            0.023511,            0.007873,                   0,            0.006997,            0.006997,            0.006997
                  93,            0.016682,           0.0090743,                   0,             0.92749,             0.95756,             0.96717,             0.69153,            0.022326,           0.0079252,                   0,            0.006964,            0.006964,            0.006964
                  94,              0.0168,           0.0091177,                   0,             0.91278,             0.94695,             0.96929,              0.6961,            0.021791,           0.0079995,                   0,            0.006931,            0.006931,            0.006931
                  95,            0.016671,           0.0088615,                   0,             0.94953,              0.9482,             0.97392,              0.7027,            0.021955,           0.0081269,                   0,            0.006898,            0.006898,            0.006898
                  96,            0.017191,           0.0089757,                   0,             0.94915,             0.94077,             0.97564,             0.69926,            0.022937,           0.0080882,                   0,            0.006865,            0.006865,            0.006865
                  97,            0.017051,           0.0084103,                   0,             0.93418,             0.94125,             0.96828,             0.68885,             0.02274,           0.0079085,                   0,            0.006832,            0.006832,            0.006832
                  98,            0.016661,           0.0085647,                   0,             0.93187,             0.94331,             0.97255,             0.69414,             0.02266,           0.0081339,                   0,            0.006799,            0.006799,            0.006799
                  99,            0.016819,            0.008458,                   0,             0.94649,              0.9443,             0.97463,              0.6948,            0.023172,           0.0083786,                   0,            0.006766,            0.006766,            0.006766
                 100,            0.015962,           0.0087566,                   0,             0.93986,             0.96021,             0.97712,             0.70676,            0.023063,           0.0079239,                   0,            0.006733,            0.006733,            0.006733
                 101,            0.015832,           0.0084144,                   0,             0.93644,             0.93793,             0.97434,             0.69258,            0.022675,           0.0085827,                   0,              0.0067,              0.0067,              0.0067
                 102,            0.015883,           0.0087215,                   0,             0.93934,             0.94473,             0.96838,             0.68814,            0.022847,           0.0086275,                   0,            0.006667,            0.006667,            0.006667
                 103,            0.016763,           0.0085543,                   0,             0.93023,             0.95756,              0.9728,             0.69802,            0.023187,           0.0087387,                   0,            0.006634,            0.006634,            0.006634
                 104,            0.016207,           0.0080906,                   0,             0.94109,             0.93216,             0.96073,               0.674,            0.023792,           0.0092885,                   0,            0.006601,            0.006601,            0.006601
                 105,             0.01627,           0.0084943,                   0,             0.92342,              0.9443,             0.96203,             0.67863,            0.023732,           0.0089373,                   0,            0.006568,            0.006568,            0.006568
                 106,            0.016064,           0.0086775,                   0,             0.93561,              0.9636,             0.97222,             0.67835,            0.023735,           0.0084703,                   0,            0.006535,            0.006535,            0.006535
                 107,            0.015998,           0.0084996,                   0,             0.92993,             0.96286,             0.97395,             0.68489,            0.023343,           0.0087252,                   0,            0.006502,            0.006502,            0.006502
                 108,            0.016351,           0.0086504,                   0,             0.92496,             0.95225,             0.96984,             0.69636,            0.022053,           0.0081709,                   0,            0.006469,            0.006469,            0.006469
                 109,            0.015844,           0.0080128,                   0,             0.91506,             0.94295,             0.96322,             0.68661,            0.022608,           0.0085846,                   0,            0.006436,            0.006436,            0.006436
                 110,              0.0154,           0.0081096,                   0,             0.94781,             0.93103,             0.96312,             0.68721,            0.023398,           0.0090322,                   0,            0.006403,            0.006403,            0.006403
                 111,            0.015807,           0.0082628,                   0,             0.92796,             0.95665,             0.97097,              0.6901,            0.023554,            0.008599,                   0,             0.00637,             0.00637,             0.00637
                 112,            0.016055,           0.0085179,                   0,              0.9575,             0.93369,             0.97577,             0.70886,            0.022855,           0.0081219,                   0,            0.006337,            0.006337,            0.006337
                 113,            0.016021,           0.0077677,                   0,             0.94219,             0.95102,             0.97971,              0.6956,            0.022859,           0.0079068,                   0,            0.006304,            0.006304,            0.006304
                 114,            0.015609,           0.0080613,                   0,             0.92036,             0.95491,             0.97107,             0.68931,              0.0228,           0.0085454,                   0,            0.006271,            0.006271,            0.006271
                 115,            0.015913,           0.0077616,                   0,             0.93286,             0.95491,             0.97391,             0.70068,            0.023319,           0.0085166,                   0,            0.006238,            0.006238,            0.006238
                 116,             0.01548,           0.0084011,                   0,             0.93508,             0.95509,             0.97103,             0.69077,            0.022862,           0.0081024,                   0,            0.006205,            0.006205,            0.006205
                 117,            0.015228,           0.0082537,                   0,             0.94007,             0.96021,             0.96311,             0.68463,            0.023619,           0.0085087,                   0,            0.006172,            0.006172,            0.006172
                 118,            0.015681,           0.0082892,                   0,             0.95121,             0.93369,             0.97018,             0.69196,            0.022831,           0.0090563,                   0,            0.006139,            0.006139,            0.006139
                 119,            0.015291,             0.00805,                   0,             0.94148,             0.93879,              0.9654,             0.68864,            0.022998,           0.0088403,                   0,            0.006106,            0.006106,            0.006106
                 120,            0.016063,           0.0081064,                   0,             0.92994,             0.95066,             0.97611,               0.691,            0.022732,           0.0085796,                   0,            0.006073,            0.006073,            0.006073
                 121,             0.01485,           0.0081346,                   0,             0.93647,             0.96021,             0.97347,             0.70056,            0.022356,           0.0086015,                   0,             0.00604,             0.00604,             0.00604
                 122,            0.015115,           0.0082338,                   0,              0.9304,             0.95736,             0.96343,             0.68418,            0.022594,           0.0092746,                   0,            0.006007,            0.006007,            0.006007
